location,average_stringency_containment_index
Austria,55.01136054421774
Belgium,55.67388535031847
Bulgaria,52.14714814814814
Croatia,62.142823129251695
Cyprus,67.35291044776119
Czechia,52.294788732394395
Denmark,51.94251592356688
Estonia,41.45678343949046
Finland,45.52796178343944
France,61.316178343949076
Germany,55.63302547770704
Greece,58.20708904109597
Hungary,57.383571428571415
Ireland,61.869230769230775
Italy,71.25993630573265
Latvia,50.88737762237772
Lithuania,59.734596774193676
Luxembourg,49.453918918918994
Malta,64.70626811594201
Netherlands,57.411586206896644
Poland,59.36532374100727
Portugal,62.12799295774637
Romania,55.99434931506852
Slovakia,60.240474452554814
Slovenia,49.91410828025481
Spain,55.64799363057327
Sweden,49.244363057324904
